"State","ExtraFunding","NumExtraProj"
"Alabama",565511.782949665,16
"Arkansas",1553650.19362182,4
"California",0,24
"Colorado",222151.196948963,90
"Connecticut",24288464.9642898,27
"Florida",2112040.43167737,7
"Georgia",550167.429842937,3
"Illinois",0,44
"Indiana",327307.375969432,36
"Iowa",15391.4946458489,6
"Kentucky",242073.661242218,1
"Louisiana",3307455.31600677,144
"Maryland",715820.571489612,3
"Massachusetts",98317.9175660707,42
"Minnesota",9651.28461660354,4
"Mississippi",218523.962986258,23
"Missouri",19673.722383302,14
"Nebraska",335244.778518667,1
"New York",4646488.94969022,190
"North Carolina",121163.392710823,12
"North Dakota",44518.0327852713,7
"Oklahoma",1056020.21583869,3
"Pennsylvania",9544.59986343462,13
"Puerto Rico",212074.380771168,1
"Rhode Island",152710.36092981,185
"South Carolina",0,2
"Tennessee",53930.1600419463,85
"Texas",223621.784885784,47
"Vermont",11655.9481325911,43
"West Virginia",8590193.67312411,2
"Wisconsin",92596.0226878989,3
"Maryland",323580.960251678,3
"Texas",103087.066082529,1
